"Producto","Producto_Base","Presentacion","Unidades_por_Caja","Descripción","Proveedor","Categoria","Imagenes"
"FB Glaza balsamica 250 ml x 6","FB Glaza balsamica","250 ml","6","condimento espeso, brillante y de color oscuro, elaborado al hervir vinagre balsámico a fuego lento hasta que reduce su volumen, concentrando su sabor agridulce.","SALOV","Vinagre balsamico","extracted_images/user_upload/8abec88b-54c9-4fb7-9332-44f69cc72b3a_1.png"
"Gemignani miel de trufas 250 gr x 9","Gemignani miel de trufas","250 gr","9","","GEMIGNANI ","Productos con trufa","extracted_images/foto miel de trufas.jpeg"
"Gemignani aceite de trufas 250 gr x 6","Gemignani aceite de trufas","250 gr","6","El aceite de trufa blanca natural es un condimento gourmet elaborado al infusionar aceite de oliva virgen extra de alta calidad con auténtica trufa blanca","GEMIGNANI ","productos con trufa","extracted_images/Gemignani 250 ml .jpg"
"Gemignani tomates secos 1kg x 10","Gemignani tomates secos","1kg","10","","GEMIGNANI ","Tomates secos","extracted_images/user_upload/image001__7__1.jpg"
"Crema tartufata especial 500 GR X 6 ( crema de trufas )","Crema tartufata especial ( crema de trufas )","500 GR","6","salsa de trufa elaborada con champiñones, trufas de verano (6%), aceite de oliva virgen extra, aceitunas negras, boletus, sal y pimienta.","VIANDER","productos con trufa","extracted_images/user_upload/image001__5_.jpg"
"Olive nere denocciolate ( Aceitunas negras sin millas ) 5 kg","Olive nere denocciolate ( Aceitunas negras sin millas )","5 kg","","","VIANDER","aceitunas","extracted_images/fotos viander_0.png"
"Preparado de Tiramisu 4 X 270 GR X 6","Preparado de Tiramisu X 6","270 GR","270","","VIANDER","preparados para postre","extracted_images/user_upload/9c0be3dc-62df-4fa3-8e06-d154ee39871b.png"
"Preparado de Panna Cotta 4 X 270 GR X 6","Preparado de Panna Cotta X 6","270 GR","270","","VIANDER","preparados para postre","extracted_images/user_upload/53bace99-04d7-4b09-82ab-27091494e04f.png"
"Preparado de Mousse de chocolate 4 X 270 GR X 6","Preparado de Mousse de chocolate X 6","270 GR","270","","VIANDER","preparados para postre","extracted_images/user_upload/87431685-1606-4e60-af82-13fdcd25f647.png"
"Funghi fantasia di bosco 1000 gr x 24","Funghi fantasia di bosco","1000 gr","24","","VIANDER","hongos especialidad","extracted_images/user_upload/b6dac403-c2a3-4ea8-ac15-90b1dee900d4.png"
"Viander Crema de pistacho 500 gr x 6","Viander Crema de pistacho","500 gr","6","Un clásico condimento tradicional siciliano. Con más del 50 % de pistachos. Un condimento versátil y práctico que realza y hace únicos los platos tradicionales mediterráneos y se presta a multitud de usos creativos.","VIANDER","salsa pesto pistacho","extracted_images/user_upload/crema_de_pistacho_viander.jpeg"
"Viander Ndjua 300 gr x 12","Viander Ndjua","300 gr","12","La 'Nduja Viander es una versión comercializada de la famosa salchicha untable y picante originaria de la región de Calabria, en el sur de Italia.","VIANDER","salsa de Ndjua","extracted_images/user_upload/4e1913e6-dd71-416b-afc0-68d7916fd5b0.jpeg"
"Alcachofas para pizza al natural 3kg x 6","Alcachofas para pizza al natural","3kg","6","","VIANDER","Alcachofas","extracted_images/user_upload/b49dfb02-c9c9-4651-aeed-c50ab1281e11.png"
"Alcachofas a la Romana con Gambo 750 gr x 4 Bella Atmosfera","Alcachofas a la Romana con Gambo Bella Atmosfera","750 gr","4","Las alcachofas con gambas a la romana son una variante sofisticada del clásico plato italiano carciofi alla romana, que combina alcachofas tiernas estofadas con ajo, menta/perejil y vino blanco, enriquecidas con gambas o langostinos.","VIANDER","Alcachofas","extracted_images/user_upload/8f789d43-3cbe-4d78-9e4b-80684c8c0248.png"
"Hongos porcini guarniture trifolato 950 gr x 8 Bella Armosfera","Hongos porcini guarniture trifolato Bella Armosfera","950 gr","8","Los funghi porcini trifolati (hongos porcini trifolati) son una preparación clásica italiana de setas Boletus edulis (porcini) salteadas con ajo, aceite de oliva y perejil. El término ""guarniture"" indica que este producto se utiliza frecuentemente como guarnición o acompañamiento para platos principales, pastas o risotto","VIANDER","Hongos especialidad","extracted_images/user_upload/image001__9_.png"
"Azafran 0.125 x 100","Azafran 0.125","","100","","VIANDER","azafran","extracted_images/user_upload/f656eea5-fd79-4995-b29a-cf4f48e9ff9b.png"
"Nero di Sepia 500 gr x 8","Nero di Sepia","500 gr","8","","VIANDER","Tinta de calamar","extracted_images/user_upload/35e0214d-7209-40e9-bc91-48d1dc574bfa.png"
"Loacker Classic 45g x25x12 Napolitaner","Loacker Classic x12 Napolitaner","45g","25","","LOACKER SPA","galletas","extracted_images/galletas loacker_8.jpeg"
"Loacker Classic 45g x25x12 Vanille","Loacker Classic x12 Vanille","45g","25","","LOACKER SPA","galletas","extracted_images/galletas loacker_0.png"
"Loacker Classic 45g x25x12 Cremkakao","Loacker Classic x12 Cremkakao","45g","25","","LOACKER SPA","galletas","extracted_images/galletas loacker_17.png"
"Loacker Classic 45g x25x12 Milk","Loacker Classic x12 Milk","45g","25","","LOACKER SPA","galletas","extracted_images/galletas loacker_24.png"
"Loacker Classic 45g x25x12 Coconut","Loacker Classic x12 Coconut","45g","25","","LOACKER SPA","galletas","extracted_images/galletas loacker_23.png"
"Loacker Classic 175g x18 Napolitaner","Loacker Classic Napolitaner","175g","18","","LOACKER SPA","galletas","extracted_images/user_upload/napolitaner.jpeg"
"Loacker Classic 175g x18 Vanille","Loacker Classic Vanille","175g","18","","LOACKER SPA","galletas","extracted_images/user_upload/101cd064-d413-4c92-8602-5a40d9ff4b32.jpeg"
"Loacker Classic 175g x18 Cremkakao","Loacker Classic Cremkakao","175g","18","","LOACKER SPA","galletas","extracted_images/user_upload/916b5abd-bdbf-4bd7-bbac-5f7ca303ebfa.jpeg"
"Loacker Classic 175g x18 Milk","Loacker Classic Milk","175g","18","","LOACKER SPA","galletas","extracted_images/user_upload/c1a4e208-79e3-4ebb-9cbf-f02122521037.jpeg"
"Loacker Quadratini 110g x12 Tiramisù","Loacker Quadratini Tiramisù","110g","12","","LOACKER SPA","galletas","extracted_images/galletas loacker_1.png"
"Loacker Quadratini 125g x12 Napolitaner","Loacker Quadratini Napolitaner","125g","12","","LOACKER SPA","galletas","extracted_images/galletas loacker_21.png"
"Loacker Quadratini 125g x12 Kakao","Loacker Quadratini Kakao","125g","12","","LOACKER SPA","galletas","extracted_images/user_upload/kakao.png"
"Loacker Quadratini 125g x12 Cocoa and Milkk","Loacker Quadratini Cocoa and Milkk","125g","12","","LOACKER SPA","galletas","extracted_images/galletas loacker_4.png"
"Loacker Quadratini 125g x12 Double chocolate","Loacker Quadratini Double chocolate","125g","12","","LOACKER SPA","galletas","extracted_images/galletas loacker_12.png"
"Loacker Quadratini 125g x12 Vanilla","Loacker Quadratini Vanilla","125g","12","","LOACKER SPA","galletas","extracted_images/galletas loacker_14.png"
"Loacker Quadratini 125g x12 Coconut","Loacker Quadratini Coconut","125g","12","","LOACKER SPA","galletas","extracted_images/galletas loacker_2.png"
"Loacker Quadratini 125g x12 Lemon","Loacker Quadratini Lemon","125g","12","","LOACKER SPA","galletas","extracted_images/galletas loacker_3.png"
"Loacker Quadratini 125g x12 Dark Chocolate","Loacker Quadratini Dark Chocolate","125g","12","","LOACKER SPA","galletas","extracted_images/galletas loacker_11.png"
"Loacker Mini 150g x 7 Napolitaner","Loacker Mini Napolitaner","150g","7","","LOACKER SPA","galletas","extracted_images/user_upload/image001__7_.png"
"Loacker Mini 150g x 7 Vainilla","Loacker Mini Vainilla","150g","7","","LOACKER SPA","galletas","extracted_images/galletas loacker_18.jpeg"
"Loacker Mini 150g x 7 Mix","Loacker Mini Mix","150g","7","","LOACKER SPA","galletas","extracted_images/galletas loacker_9.png"
